feature,score
dx735,5350
dx554,4633
dx363,4517
dx367,4403
dx549,4283
dx591,4282
dx148,4203
dx368,4164
dx191,4150
dx58,3946
dx404,3942
dx606,3933
dx189,3932
dx413,3899
dx943,3840
dx352,3806
dx2,3783
dx135,3776
dx856,3742
dx115,3719
dx383,3716
dx944,3693
dx235,3659
dx406,3637
dx26,3636
dx95,3607
dx27,3591
dx96,3572
dx767,3564
dx92,3539
dx878,3537
dx1,3528
dx114,3527
dx951,3523
dx134,3510
dx10,3502
dx592,3501
dx43,3498
dx952,3480
dx168,3447
dx29,3444
dx28,3433
dx820,3428
dx192,3419
dx9,3402
dx226,3385
dx8,3372
dx137,3366
dx79,3338
dx645,3320
dx112,3316
dx53,3316
dx107,3283
dx292,3282
dx71,3275
dx6,3252
dx407,3236
dx172,3233
dx490,3229
dx25,3228
dx999,3225
dx72,3223
dx236,3221
dx1026,3215
dx289,3215
dx11,3212
dx13,3208
dx94,3206
dx200,3195
dx131,3192
dx199,3188
dx59,3184
dx38,3175
dx146,3174
dx428,3168
dx171,3167
dx584,3161
dx113,3158
dx305,3156
dx366,3147
dx940,3144
dx462,3143
dx55,3128
dx190,3126
dx93,3117
dx399,3114
dx607,3113
dx364,3111
dx164,3096
dx205,3090
dx395,3087
dx1001,3085
dx766,3073
dx825,3048
dx149,3046
dx651,3043
dx941,3040
dx551,3040
dx227,3032
dx21,3022
dx37,3020
dx161,3015
dx193,3004
dx162,3004
dx234,3002
dx145,2997
dx228,2994
dx179,2992
dx769,2992
dx208,2986
dx486,2985
dx424,2978
dx323,2976
dx173,2974
dx125,2970
dx183,2970
dx392,2967
dx40,2964
dx552,2955
dx138,2955
dx471,2954
dx41,2950
dx165,2947
dx212,2947
dx42,2940
dx65,2931
dx157,2928
dx101,2928
dx106,2927
dx304,2927
dx214,2926
dx44,2924
dx84,2914
dx1018,2904
dx109,2891
dx412,2888
dx1022,2886
dx204,2880
dx768,2874
dx950,2871
dx365,2869
dx159,2864
dx74,2846
dx98,2826
dx180,2824
dx124,2812
dx19,2812
dx398,2810
dx3,2798
dx185,2779
dx169,2778
dx953,2778
dx150,2777
dx239,2770
dx167,2769
dx57,2768
dx482,2767
dx16,2765
dx99,2761
dx76,2751
dx156,2751
dx177,2748
dx357,2741
dx995,2735
dx20,2730
dx299,2728
dx22,2726
dx211,2724
dx47,2724
dx30,2722
