feature,score
rx767,1584
rx148,1534
rx2,1534
rx368,1521
rx363,1485
rx554,1350
rx951,1310
rx944,1302
rx367,1295
rx114,1284
rx735,1278
rx6,1277
rx171,1270
rx352,1263
rx235,1225
rx58,1213
rx606,1210
rx226,1184
rx29,1179
rx191,1168
rx406,1163
rx193,1149
rx952,1145
rx26,1142
rx189,1119
rx82,1119
rx940,1109
rx200,1108
rx115,1103
rx137,1102
rx236,1101
rx941,1097
rx10,1094
rx53,1092
rx791,1087
rx38,1073
rx407,1065
rx364,1056
rx96,1041
rx28,1036
rx1,1032
rx199,1031
rx107,1024
rx9,1019
rx95,1018
rx357,1016
rx584,1015
rx950,1013
rx172,1011
rx43,1007
rx92,1003
rx134,1002
rx37,999
rx192,997
rx135,996
rx168,996
rx8,987
rx138,985
rx113,983
rx212,983
rx145,982
rx305,977
rx190,969
rx65,968
rx27,966
rx55,964
rx552,956
rx607,954
rx428,954
rx486,954
rx79,951
rx195,950
rx227,949
rx59,949
rx482,949
rx392,942
rx161,939
rx112,936
rx549,935
rx234,925
rx204,925
rx72,921
rx14,918
rx180,914
rx101,911
rx237,910
rx398,910
rx13,909
rx42,900
rx159,898
rx71,898
rx162,896
rx153,896
rx119,894
rx169,892
rx591,891
rx25,889
rx149,888
rx433,884
rx110,884
rx362,883
rx146,881
rx175,881
rx173,880
rx412,879
rx942,878
rx125,875
rx94,872
rx121,864
rx356,863
rx592,863
rx11,863
rx99,859
rx3,855
rx167,854
rx76,852
rx645,851
rx879,849
rx346,848
rx41,847
rx995,846
rx109,843
rx383,842
rx18,838
rx150,831
rx366,829
rx44,828
rx164,828
rx365,827
rx106,826
rx228,822
rx131,821
rx181,808
rx84,806
rx471,806
rx57,803
rx126,800
rx820,799
rx88,799
rx1024,799
rx769,797
rx953,796
rx359,795
rx211,794
rx21,793
rx163,791
rx323,790
rx157,790
rx218,789
rx19,786
rx158,782
rx404,782
rx822,782
rx239,780
rx123,778
rx93,775
rx142,775
rx490,774
rx165,771
rx179,766
rx434,764
rx122,764
rx481,764
rx399,762
rx208,759
rx293,756
rx422,755
rx178,753
rx66,750
rx205,747
rx337,746
rx184,741
rx825,740
rx829,740
rx120,740
rx219,739
rx75,738
rx430,736
rx304,733
rx151,732
rx229,729
rx210,729
rx778,728
rx177,723
rx89,722
rx118,722
rx350,721
rx462,719
rx558,717
rx54,717
rx559,716
rx22,715
rx292,714
rx943,714
rx141,713
rx68,711
rx223,710
rx176,709
rx117,708
rx183,708
rx213,707
rx474,707
rx477,707
rx81,704
rx132,703
rx240,702
rx51,702
rx20,701
rx361,701
rx47,701
rx336,701
rx70,700
rx83,699
rx16,699
rx768,695
rx124,695
rx214,695
rx98,692
rx476,689
rx270,686
rx30,684
rx129,682
rx156,679
rx52,678
rx185,678
rx689,677
rx395,676
rx246,675
rx4,674
rx67,671
rx217,670
rx147,669
rx206,667
rx354,666
rx155,666
rx74,665
rx24,663
rx656,663
rx478,660
rx483,658
rx188,656
rx31,651
rx35,649
rx289,646
rx87,644
rx358,644
rx231,643
rx143,643
rx409,642
rx734,641
rx771,641
rx36,641
rx90,640
rx233,639
rx329,639
rx17,638
rx977,638
rx34,636
rx348,635
rx15,634
rx86,631
rx209,631
rx298,628
rx296,628
rx196,626
rx46,624
rx128,622
rx738,621
rx472,619
rx458,619
rx986,618
rx306,616
rx182,614
rx772,611
rx238,611
rx413,609
rx353,609
rx160,607
rx133,605
rx479,605
rx222,603
rx252,600
rx198,599
rx959,598
rx601,598
rx958,598
rx475,594
rx102,593
rx557,593
rx546,592
rx80,592
rx154,592
rx979,592
rx216,591
rx50,590
rx550,586
rx136,585
rx999,583
rx431,582
rx1026,575
rx730,575
rx347,574
rx288,573
rx215,571
rx1018,571
rx286,570
rx690,569
rx105,566
rx130,563
rx7,562
rx144,562
rx140,561
rx578,561
rx766,560
rx207,558
rx852,557
rx427,556
rx299,556
rx469,554
rx85,553
rx186,553
rx484,552
rx40,551
rx729,550
rx551,550
rx241,550
rx424,550
rx91,548
rx349,548
rx960,541
rx996,541
rx976,540
rx681,538
rx339,537
rx355,536
rx846,536
rx297,533
rx856,532
rx393,531
rx152,530
rx230,530
rx338,529
rx397,529
rx473,529
rx62,528
rx511,527
rx127,526
rx633,525
rx823,524
rx698,522
rx842,521
rx116,520
rx654,516
rx485,516
rx961,516
rx307,515
rx685,514
rx494,510
rx435,507
rx257,506
rx111,501
rx166,496
rx868,496
rx1023,494
rx956,493
rx553,492
rx63,492
rx220,490
rx432,490
rx548,489
rx295,489
rx792,487
rx629,486
rx403,486
rx555,486
rx373,483
rx232,482
rx374,482
rx560,481
rx1001,481
rx49,478
rx400,478
rx878,477
rx590,475
rx294,474
rx342,473
rx330,471
rx224,470
rx33,469
rx568,469
rx56,468
rx344,464
rx763,461
rx564,461
rx873,461
rx760,460
rx410,460
rx946,458
rx480,457
rx382,456
rx48,452
rx1077,451
rx360,449
rx731,445
rx429,444
rx187,443
rx202,442
rx61,438
rx1010,438
rx764,437
rx436,435
rx284,434
rx949,434
rx1022,433
rx722,433
rx418,433
rx634,430
rx104,429
rx60,427
rx268,426
rx648,425
rx391,425
rx524,424
rx12,423
rx737,422
rx686,422
rx849,421
rx997,420
rx865,418
rx460,418
rx272,417
rx647,416
rx401,416
rx947,415
rx582,414
rx752,413
rx746,413
rx914,413
rx274,412
rx379,412
rx978,411
rx396,411
rx1048,408
rx981,408
rx499,408
rx100,406
rx687,406
rx1015,405
rx994,405
rx858,403
rx563,401
rx389,401
rx340,399
rx386,398
rx1004,398
rx781,397
rx514,395
rx581,395
rx343,395
rx73,394
rx556,394
rx23,393
rx77,392
rx287,391
rx174,391
rx990,390
rx966,389
rx103,389
rx78,387
rx1019,387
rx867,387
rx909,386
rx864,384
rx370,384
rx609,383
rx713,382
rx653,382
rx716,380
rx282,379
rx1029,378
rx583,378
rx652,376
rx585,375
rx325,371
rx506,369
rx805,368
rx700,368
rx5,368
rx721,367
rx1005,366
rx197,364
rx385,364
rx64,364
rx650,364
rx982,362
rx108,360
rx194,359
rx748,359
rx826,357
rx97,357
rx271,356
rx351,354
rx804,354
rx890,350
rx39,348
rx345,346
rx992,345
rx651,345
rx534,344
rx777,344
rx408,344
rx1103,344
rx683,343
rx1055,341
rx225,340
rx957,339
rx341,339
rx843,338
rx388,338
rx613,338
rx757,338
rx851,337
rx394,337
rx369,336
rx371,336
rx762,335
rx963,335
rx674,334
rx699,333
rx45,333
rx405,329
rx512,328
rx593,327
rx266,327
rx964,324
rx818,324
rx139,323
rx824,322
rx326,322
rx381,321
rx221,319
rx255,319
rx562,319
rx533,316
rx201,316
rx277,316
rx203,316
rx1003,316
rx517,314
rx836,314
rx733,314
rx655,313
rx530,310
rx987,308
rx968,308
rx697,308
rx657,307
rx579,307
rx32,307
rx993,307
rx522,307
rx1020,306
rx259,306
rx988,304
rx626,301
rx372,301
rx643,301
rx945,300
rx800,300
rx1057,300
rx605,297
rx387,297
rx967,297
rx809,296
rx528,296
rx1060,296
rx1059,295
