feature,score,min,max,n_null,n_gt1w
x148,1717,-1.0,22.45,19,0,numeric
x2,1326,-1.0,56.41,19,0,numeric
x363,1307,0.0,692.0,0,0,numeric
x767,1226,-1,302150,19,1541,numeric
x367,1164,-1.0,33.2,92,0,numeric
x791,1131,-1,29982,19,4,numeric
x6,1109,-1.0,21.77,19,0,numeric
x951,1103,-1.0,14748.62,138,2,numeric
x606,1091,-1,86220,19,96,numeric
x735,1090,-1,443,19,0,numeric
x226,1048,-1.0,25.56,19,0,numeric
x407,1030,-1,735855,19,83,numeric
x53,1014,-1.0,100.0,92,0,numeric
x193,1001,-1.0,50.32,19,0,numeric
x482,983,-1,135922,23,758,numeric
x29,976,-1.0,88.8,83,0,numeric
x368,974,-1.0,40.0,92,0,numeric
x944,969,-1.0,3223695.97,285,136,numeric
x486,958,-1,2028938,20,9340,numeric
x554,958,-1,312,667,0,numeric
x171,953,-1.0,24.17,19,0,numeric
x352,950,0.01,726.0,0,0,numeric
x412,927,-1,1000,19,0,numeric
x114,898,-1.0,36.19,19,0,numeric
x137,878,-1.0,100.0,83,0,numeric
x200,871,-1.0,34.29,19,0,numeric
x135,869,-1.0,77.8,83,0,numeric
x404,857,-1,471,19,0,numeric
x940,838,-1.0,342075.0,285,38,numeric
x941,835,-1.0,499087.41,285,67,numeric
x96,830,-1.0,100.0,83,0,numeric
x138,830,-1.0,77.19,83,0,numeric
x82,829,-1.0,86.59,92,0,numeric
x145,810,-1.0,20.91,19,0,numeric
x995,809,-1,973,19,0,numeric
x58,804,-1.0,100.0,83,0,numeric
x235,785,-1.0,100.0,92,0,numeric
x189,782,-1.0,24.0,19,0,numeric
x191,781,-1.0,34.61,19,0,numeric
x406,778,-1,16706,19,62,numeric
x107,775,-1.0,31.87,19,0,numeric
x212,772,-1.0,100.0,131,0,numeric
x490,770,-1,120,19,0,numeric
x422,766,-1,254,19,0,numeric
x879,765,-1,24864,19,4,numeric
x42,761,-1.0,48.37,19,0,numeric
x168,758,-1.0,24.11,19,0,numeric
x10,757,-1.0,78.23,19,0,numeric
x433,753,-1.0,2480.62,52,0,numeric
x999,751,-1,445,19,0,numeric
x178,728,-1.0,50.0,92,0,numeric
x392,713,-1,735675,19,1,numeric
x192,713,-1.0,32.22,19,0,numeric
x43,704,-1.0,83.56,19,0,numeric
x591,702,-1,657,19,0,numeric
x234,697,-1.0,32.22,92,0,numeric
x125,696,-1.0,100.0,131,0,numeric
x142,696,-1.0,100.0,130,0,numeric
x72,694,-1.0,49.0,19,0,numeric
x364,693,-1.0,100.0,92,0,numeric
x336,692,-1,278,7095,0,numeric
x115,685,-1.0,41.8,19,0,numeric
x398,685,-85,735674,22,1,numeric
x1129,684,1,8,0,0,category
x952,683,-182.05,8902.83,206,0,numeric
x305,674,-1,875860,19,2241,numeric
x161,673,-1.0,100.0,131,0,numeric
x356,669,0.0,814.0,0,0,numeric
x607,669,-1,53193,19,10,numeric
x93,663,-1.0,100.0,83,0,numeric
x28,658,-1.0,100.0,83,0,numeric
x204,655,-1.0,72.57,92,0,numeric
x119,651,-1.0,56.37,92,0,numeric
x175,651,-1.0,30.19,19,0,numeric
x383,650,-1,141,19,0,numeric
x227,648,-1.0,25.68,19,0,numeric
x11,646,-1.0,78.1,19,0,numeric
x549,643,-1,343,846,0,numeric
x99,638,-1.0,100.0,130,0,numeric
x236,635,-1.0,100.0,131,0,numeric
x645,629,-1,333,2386,0,numeric
x199,629,-1.0,27.08,19,0,numeric
x37,627,-1.0,18.95,19,0,numeric
x494,626,-1,300,19,0,numeric
x8,626,-1.0,42.22,19,0,numeric
x552,622,-1,257,41,0,numeric
x79,620,-1.0,36.03,19,0,numeric
x218,616,-1.0,22.9,131,0,numeric
x26,615,-1.0,85.71,83,0,numeric
x101,600,-1.0,100.0,130,0,numeric
x584,596,-1,60288,19,45,numeric
x195,596,-1.0,25.42,19,0,numeric
x829,595,-1,39368,19,22,numeric
x110,594,-1.0,46.23,19,0,numeric
x986,592,-1,122,19,0,numeric
x950,592,-86.86,9810.62,161,0,numeric
x134,590,-1.0,100.0,83,0,numeric
x772,588,-1,19913,19,5,numeric
x737,588,-1,101,19,0,numeric
x113,584,-1.0,51.76,19,0,numeric
x94,582,-1.0,100.0,83,0,numeric
x346,581,0.01,2950.0,0,0,numeric
x92,580,-1.0,100.0,83,0,numeric
x417,578,1,2,0,0,category
x3,577,-1.0,48.99,19,0,numeric
x357,575,-100.26,9656.69,160,0,numeric
x458,574,0,37,0,0,numeric
x578,569,-1,8402,19,0,numeric
x55,569,-1.0,100.0,131,0,numeric
x159,569,-1.0,46.1,92,0,numeric
x210,562,-1.0,76.82,92,0,numeric
x172,562,-1.0,51.72,19,0,numeric
x112,561,-1.0,53.13,19,0,numeric
